Rank	   Word	Part of speech	Frequency	Dispersion
958	   suddenly	r	43382	0.90
959	   discover	v	40489	0.97
960	   candidate	n	43251	0.90
961	   top	j	41484	0.94
962	   production	n	42052	0.93
963	   treat	v	40264	0.97
964	   trip	n	40423	0.96
965	   evening	n	40881	0.95
966	   affect	v	41496	0.93
967	   inside	i	40856	0.95
968	   conference	n	40643	0.95
969	   unit	n	41087	0.94
970	   best	r	39959	0.97
971	   style	n	40889	0.94
972	   adult	n	40705	0.95
973	   worry	v	40210	0.96
974	   range	n	41326	0.93
975	   mention	v	39815	0.97
976	   rather	i	41558	0.93
977	   far	j	39967	0.96
978	   deep	j	40126	0.96
979	   past	n	39559	0.97
980	   edge	n	40960	0.94
981	   individual	j	42325	0.90
982	   specific	j	42397	0.90
983	   writer	n	39666	0.96
984	   trouble	n	39659	0.96
985	   necessary	j	40776	0.93
986	   throughout	i	40170	0.95
987	   challenge	n	40380	0.94
988	   fear	n	38857	0.98
989	   shoulder	n	42843	0.89
990	   institution	n	42153	0.90
991	   middle	j	40402	0.94
992	   sea	n	39516	0.96
993	   dream	n	39613	0.96
994	   bar	n	39853	0.95
995	   beautiful	j	40052	0.94
996	   property	n	40027	0.94
997	   instead	r	39051	0.97
998	   improve	v	40214	0.94
999	   stuff	n	40180	0.94
1000	   detail	n	38750	0.97
1001	   method	n	42667	0.88
1002	   sign	v	39418	0.95
1003	   somebody	p	41639	0.90
1004	   magazine	n	39197	0.96
1005	   hotel	n	39642	0.95
1006	   soldier	n	39552	0.95
1007	   reflect	v	40687	0.92
1008	   heavy	j	39160	0.96
1009	   sexual	j	41865	0.89
1010	   cause	n	38843	0.96
1011	   bag	n	40007	0.93
1012	   heat	n	40363	0.92
1013	   fall	n	38822	0.96
1014	   marriage	n	38517	0.96
1015	   tough	j	39600	0.94
1016	   sing	v	38575	0.96
1017	   surface	n	39367	0.94
1018	   purpose	n	40084	0.92
1019	   exist	v	39341	0.94
1020	   pattern	n	40397	0.91
1021	   whom	p	37950	0.97
1022	   skin	n	39893	0.92
1023	   agent	n	38265	0.96
1024	   owner	n	39492	0.93
1025	   machine	n	38407	0.96
1026	   gas	n	38194	0.96
1027	   down	i	39633	0.93
1028	   ahead	r	39705	0.92
1029	   generation	n	38323	0.96
1030	   commercial	j	40608	0.90
1031	   address	v	39774	0.92
1032	   cancer	n	39407	0.93
1033	   test	v	38644	0.95
1034	   item	n	40336	0.91
1035	   reality	n	38397	0.95
1036	   coach	n	40716	0.90
1037	   step	v	39356	0.93
1038	   Mrs	n	40545	0.90
1039	   yard	n	39253	0.93
1040	   beat	v	38268	0.95
1041	   violence	n	38474	0.94
1042	   total	j	38798	0.93
1043	   tend	v	38295	0.94
1044	   investment	n	38810	0.93
1045	   discussion	n	39616	0.91
1046	   finger	n	40842	0.88
1047	   garden	n	38800	0.93
1048	   notice	v	38910	0.92
1049	   collection	n	38431	0.93
1050	   modern	j	38372	0.93
1051	   task	n	39209	0.91
1052	   partner	n	37540	0.95
1053	   positive	j	39310	0.91
1054	   civil	j	37742	0.95
1055	   kitchen	n	39332	0.91
1056	   consumer	n	38079	0.94
1057	   shot	n	37505	0.95
1058	   budget	n	39165	0.91
1059	   wish	v	37532	0.95
1060	   painting	n	39264	0.91
1061	   scientist	n	37700	0.94
1062	   safe	j	36547	0.97
1063	   agreement	n	38141	0.93
1064	   capital	n	37443	0.95
1065	   mouth	n	40200	0.88
1066	   nor	c	37230	0.95
1067	   victim	n	36878	0.96
1068	   newspaper	n	37522	0.94
1069	   instead	i	36247	0.97
1070	   threat	n	37022	0.95
1071	   responsibility	n	37084	0.95
1072	   smile	v	41473	0.85
1073	   attorney	n	37959	0.92
1074	   score	n	39294	0.89
1075	   account	n	36786	0.95
1076	   interesting	j	37473	0.93
1077	   break	n	40348	0.86
1078	   audience	n	36227	0.96
1079	   rich	j	35940	0.97
1080	   dinner	n	37156	0.94
1081	   figure	v	36137	0.96
1082	   vote	n	39464	0.88
1083	   western	j	37389	0.93
1084	   relate	v	39143	0.89
1085	   travel	v	35746	0.97
1086	   debate	n	37228	0.93
1087	   prevent	v	36421	0.95
1088	   citizen	n	36408	0.95
1089	   majority	n	36758	0.94
1090	   none	p	35359	0.98
1091	   front	i	37363	0.92
1092	   born	v	35352	0.97
1093	   admit	v	35143	0.97
1094	   senior	j	36598	0.93
1095	   assume	v	35960	0.95
1096	   wind	n	36478	0.94
1097	   key	j	36056	0.95
1098	   professional	j	36319	0.93
1099	   mission	n	35217	0.96
1100	   fast	r	35474	0.95
1101	   alone	r	34982	0.96
1102	   customer	n	36000	0.94
1103	   suffer	v	34675	0.97
1104	   speech	n	35504	0.95
1105	   successful	j	35459	0.95
1106	   option	n	35434	0.95
1107	   participant	n	41462	0.81
1108	   southern	j	35314	0.95
1109	   fresh	j	35974	0.93
1110	   eventually	r	34534	0.97
1111	   no	p	35016	0.96
1112	   forest	n	35429	0.94
1113	   video	n	35230	0.95
1114	   global	j	36381	0.92
1115	   Senate	n	36809	0.91
1116	   reform	n	36103	0.92
1117	   access	n	35310	0.94
1118	   restaurant	n	35898	0.93
1119	   judge	n	35464	0.94
1120	   publish	v	35062	0.95
1121	   cost	v	34941	0.95
1122	   relation	n	36963	0.89
1123	   like	c	35636	0.93
1124	   release	v	34301	0.96
1125	   own	v	34577	0.95
1126	   bird	n	34835	0.94
1127	   opinion	n	34501	0.95
1128	   credit	n	34578	0.95
1129	   critical	j	35824	0.92
1130	   corner	n	35496	0.93
1131	   concerned	j	34331	0.96
1132	   recall	v	34442	0.95
1133	   version	n	34456	0.95
1134	   stare	v	39266	0.83
1135	   safety	n	34188	0.96
1136	   effective	j	35851	0.91
1137	   neighborhood	n	34691	0.94
1138	   original	j	34368	0.95
1139	   act	n	34104	0.96
1140	   troop	n	36001	0.91
1141	   income	n	34925	0.93
1142	   directly	r	34090	0.96
1143	   hurt	v	34445	0.94
1144	   species	n	35804	0.91
1145	   immediately	r	33067	0.98
1146	   track	n	33788	0.96
1147	   basic	j	34788	0.93
1148	   strike	v	33238	0.97
1149	   hope	n	33019	0.98
1150	   sky	n	35141	0.92
1151	   freedom	n	34174	0.94
1152	   absolutely	r	36740	0.88
1153	   plane	n	33900	0.95
1154	   nobody	p	34280	0.94
1155	   achieve	v	35166	0.92
1156	   object	n	35040	0.92
1157	   attitude	n	35437	0.91
1158	   labor	n	34400	0.93
1159	   refer	v	34317	0.94
1160	   concept	n	35944	0.89
1161	   client	n	34027	0.94
1162	   powerful	j	33151	0.97
1163	   perfect	j	33456	0.96
1164	   nine	m	32967	0.97
1165	   therefore	r	35842	0.89
1166	   conduct	v	34909	0.91
1167	   announce	v	33305	0.96
1168	   conversation	n	33046	0.96
1169	   examine	v	35826	0.89
1170	   touch	v	34737	0.92
1171	   please	r	34709	0.92
1172	   attend	v	33380	0.95
1173	   completely	r	32550	0.98
1174	   vote	v	35224	0.90
1175	   variety	n	34242	0.93
1176	   sleep	v	34801	0.91
1177	   turn	n	32944	0.96
1178	   involved	j	33428	0.95
1179	   investigation	n	33849	0.94
1180	   nuclear	j	34264	0.92
1181	   researcher	n	34742	0.91
1182	   press	n	33410	0.94
1183	   conflict	n	34710	0.91
1184	   spirit	n	32942	0.96
1185	   experience	v	34009	0.92
1186	   replace	v	32688	0.96
1187	   British	j	32929	0.95
1188	   encourage	v	33348	0.94
1189	   argument	n	33394	0.94
1190	   by	r	32560	0.96
1191	   once	c	32180	0.97
1192	   camp	n	32659	0.95
1193	   brain	n	32852	0.95
1194	   feature	n	33344	0.93
1195	   afternoon	n	33202	0.94
1196	   AM	r	34451	0.90
1197	   weekend	n	33239	0.93
1198	   dozen	m	32432	0.96
1199	   possibility	n	32466	0.95
1200	   along	r	32475	0.95
1201	   insurance	n	32928	0.94
1202	   department	n	32252	0.96
1203	   battle	n	31989	0.96
1204	   beginning	n	31866	0.97
1205	   date	n	31467	0.98
1206	   generally	r	33191	0.93
1207	   African	j	34557	0.89
1208	   very	j	31807	0.96
1209	   sorry	j	34270	0.89
1210	   crisis	n	32924	0.93
1211	   complete	v	32813	0.93
1212	   fan	n	32919	0.93
1213	   stick	v	32259	0.94
1214	   define	v	33958	0.90
1215	   easily	r	31755	0.96
1216	   through	r	31838	0.96
1217	   hole	n	32302	0.94
1218	   element	n	33053	0.92
1219	   vision	n	32358	0.94
1220	   status	n	33511	0.91
1221	   normal	j	31265	0.97
1222	   Chinese	j	32334	0.94
1223	   ship	n	32588	0.93
1224	   solution	n	32052	0.94
1225	   stone	n	32531	0.93
1226	   slowly	r	33403	0.90
1227	   scale	n	34375	0.88
1228	   bit	r	32087	0.94
1229	   university	n	33000	0.91
1230	   introduce	v	31345	0.96
1231	   driver	n	31633	0.95
1232	   attempt	n	31944	0.94
1233	   park	n	32322	0.93
1234	   spot	n	31612	0.95
1235	   lack	n	32157	0.93
1236	   ice	n	31686	0.95
1237	   boat	n	32079	0.93
1238	   drink	v	32078	0.93
1239	   sun	n	32646	0.92
1240	   front	j	32087	0.93
1241	   distance	n	31380	0.95
1242	   wood	n	31801	0.93
1243	   handle	v	30634	0.97
1244	   truck	n	31536	0.94
1245	   return	n	31058	0.95
1246	   mountain	n	31322	0.94
1247	   survey	n	32784	0.90
1248	   supposed	j	31005	0.95
1249	   tradition	n	32110	0.92
1250	   winter	n	31227	0.95
1251	   village	n	30741	0.96
1252	   Soviet	j	36193	0.82
1253	   refuse	v	30173	0.98
1254	   sales	n	32145	0.91
1255	   roll	v	31592	0.93
1256	   communication	n	31577	0.93
1257	   run	n	31325	0.94
1258	   screen	n	30758	0.95
1259	   gain	v	30667	0.95
1260	   resident	n	31836	0.92
1261	   hide	v	31098	0.94
1262	   gold	n	30733	0.95
1263	   club	n	30800	0.95
1264	   future	j	31494	0.92
1265	   farm	n	30291	0.96
1266	   potential	j	31289	0.93
1267	   increase	n	31247	0.93
1268	   middle	n	30199	0.96
1269	   European	j	31455	0.92
1270	   presence	n	30624	0.95
1271	   independent	j	31044	0.93
1272	   district	n	31327	0.92
1273	   shape	n	30396	0.95
1274	   reader	n	31442	0.92
1275	   Ms	n	31610	0.91
1276	   contract	n	30906	0.93
1277	   crowd	n	30542	0.94
1278	   Christian	j	30726	0.94
1279	   express	v	30947	0.93
1280	   apartment	n	31012	0.93
1281	   willing	j	29635	0.97
1282	   strength	n	29769	0.96
1283	   previous	j	30490	0.94
1284	   band	n	29769	0.96
1285	   obviously	r	31299	0.91
1286	   horse	n	30993	0.92
1287	   interested	j	29155	0.98
1288	   target	n	29866	0.96
1289	   prison	n	30248	0.94
1290	   ride	v	30476	0.94
1291	   guard	n	30159	0.94
1292	   terms	i	30996	0.92
1293	   demand	n	30519	0.93
1294	   reporter	n	30416	0.93
1295	   deliver	v	29169	0.97
1296	   text	n	32316	0.88
1297	   share	n	30752	0.92
1298	   tool	n	30286	0.93
1299	   wild	j	29473	0.96
1300	   vehicle	n	29421	0.96
1301	   observe	v	30737	0.92
1302	   flight	n	29535	0.95
1303	   inside	r	30715	0.91
1304	   facility	n	30107	0.93
1305	   understanding	n	31319	0.89
1306	   average	j	29717	0.94
1307	   emerge	v	29496	0.95
1308	   advantage	n	29340	0.95
1309	   quick	j	29108	0.96
1310	   light	j	29731	0.94
1311	   leadership	n	30047	0.93
1312	   earn	v	29560	0.94
1313	   pound	n	29946	0.93
1314	   basis	n	30377	0.92
1315	   bright	j	29780	0.93
1316	   operate	v	29345	0.95
1317	   guest	n	29328	0.95
1318	   sample	n	32436	0.86
1319	   contribute	v	30090	0.92
1320	   tiny	j	29756	0.93
1321	   block	n	28826	0.96
1322	   protection	n	29336	0.94
1323	   settle	v	28827	0.96
1324	   feed	v	28494	0.97
1325	   collect	v	28946	0.95
1326	   additional	j	29771	0.93
1327	   while	n	29579	0.93
1328	   highly	r	29554	0.93
1329	   identity	n	31163	0.88
1330	   title	n	29210	0.94
1331	   mostly	r	28178	0.97
1332	   lesson	n	28623	0.96
1333	   faith	n	28710	0.95
1334	   river	n	28862	0.95
1335	   promote	v	29679	0.92
1336	   living	n	28736	0.95
1337	   present	j	30645	0.89
1338	   count	v	28836	0.95
1339	   unless	c	27908	0.98
1340	   marry	v	28722	0.95
1341	   tomorrow	r	30098	0.91
1342	   technique	n	29828	0.91
1343	   path	n	28344	0.96
1344	   ear	n	29597	0.92
1345	   shop	n	28589	0.95
1346	   folk	n	28698	0.94
1347	   order	v	27950	0.97
1348	   principle	n	30011	0.90
1349	   survive	v	27682	0.98
1350	   lift	v	29354	0.92
1351	   border	n	28636	0.94
1352	   competition	n	28752	0.93
1353	   jump	v	28504	0.94
1354	   gather	v	27659	0.97
1355	   limit	v	28901	0.93
1356	   fit	v	27875	0.96
1357	   claim	n	28609	0.94
1358	   cry	v	29690	0.90
1359	   equipment	n	28023	0.95
1360	   worth	i	27687	0.97
1361	   associate	v	30406	0.88
1362	   critic	n	28244	0.94
1363	   warm	j	28600	0.93
1364	   aspect	n	29460	0.90
1365	   result	v	29515	0.90
1366	   insist	v	27205	0.97
1367	   failure	n	28234	0.94
1368	   annual	j	28471	0.93
1369	   French	j	27590	0.96
1370	   Christmas	n	28046	0.94
1371	   comment	n	27712	0.95
1372	   responsible	j	27569	0.96
1373	   affair	n	27432	0.96
1374	   approach	v	27449	0.96
1375	   until	i	27007	0.97
1376	   procedure	n	29044	0.90
1377	   regular	j	27244	0.96
1378	   spread	v	27266	0.96
1379	   chairman	n	28560	0.92
1380	   baseball	n	28551	0.92
1381	   soft	j	27970	0.94
1382	   ignore	v	27023	0.97
1383	   egg	n	27917	0.94
1384	   measure	v	28612	0.91
1385	   belief	n	28844	0.91
1386	   demonstrate	v	29170	0.90
1387	   anybody	p	28704	0.91
1388	   murder	n	28335	0.92
1389	   gift	n	27050	0.96
1390	   religion	n	28220	0.92
1391	   review	n	28141	0.93
1392	   editor	n	27734	0.94
1393	   past	i	28278	0.92
1394	   engage	v	28194	0.92
1395	   coffee	n	28331	0.92
1396	   document	n	29437	0.88
1397	   speed	n	27740	0.93
1398	   cross	v	27524	0.94
1399	   influence	n	28387	0.91
1400	   anyway	r	28170	0.92
1401	   threaten	v	26587	0.97
1402	   commit	v	26943	0.96
1403	   female	j	27952	0.92
1404	   youth	n	27755	0.93
1405	   wave	n	26844	0.96
1406	   move	n	26717	0.96
1407	   afraid	j	27727	0.93
1408	   quarter	n	27125	0.95
1409	   background	n	26907	0.96
1410	   native	j	28026	0.92
1411	   broad	j	27191	0.94
1412	   wonderful	j	27494	0.93
1413	   deny	v	26675	0.96
1414	   apparently	r	26513	0.97
1415	   slightly	r	26887	0.95
1416	   reaction	n	26771	0.96
1417	   twice	r	26450	0.97
1418	   suit	n	27066	0.95
1419	   perspective	n	28324	0.90
1420	   growing	j	26858	0.95
1421	   blow	v	27254	0.94
1422	   construction	n	27114	0.94
1423	   kind	r	29474	0.86
1424	   intelligence	n	27555	0.92
1425	   destroy	v	26177	0.97
1426	   cook	v	27725	0.91
1427	   connection	n	26552	0.95
1428	   charge	v	26432	0.96
1429	   burn	v	26646	0.95
1430	   shoe	n	26945	0.94
1431	   view	v	27258	0.92
1432	   grade	n	27178	0.92
1433	   context	n	29113	0.86
1434	   committee	n	26697	0.94
1435	   hey	u	27659	0.91
1436	   mistake	n	26080	0.96
1437	   focus	n	26815	0.93
1438	   smile	n	28698	0.87
1439	   location	n	26463	0.94
1440	   clothes	n	27033	0.92
1441	   Indian	j	27100	0.92
1442	   quiet	j	26732	0.93
1443	   dress	v	26669	0.93
1444	   promise	v	25720	0.97
1445	   aware	j	25503	0.97
1446	   neighbor	n	25497	0.97
1447	   complete	j	25699	0.97
1448	   drive	n	26373	0.94
1449	   function	n	28011	0.88
1450	   bone	n	26282	0.94
1451	   active	j	26507	0.93
1452	   extend	v	25969	0.95
1453	   chief	j	26456	0.93
1454	   average	n	26568	0.93
1455	   combine	v	26570	0.93
1456	   wine	n	26682	0.92
1457	   below	r	26765	0.92
1458	   cool	j	26279	0.94
1459	   voter	n	27768	0.89
1460	   mean	n	28991	0.85
1461	   demand	v	25207	0.97
1462	   learning	n	28869	0.85
1463	   bus	n	25850	0.95
1464	   hell	n	27278	0.90
1465	   dangerous	j	25170	0.97
1466	   remind	v	25525	0.96
1467	   moral	j	26980	0.91
1468	   United	j	26396	0.93
1469	   category	n	27219	0.90
1470	   relatively	r	26476	0.92
1471	   victory	n	26422	0.92
1472	   key	n	25436	0.96
1473	   academic	j	28216	0.86
1474	   visit	n	25000	0.97
1475	   Internet	n	26983	0.90
1476	   healthy	j	26009	0.94
1477	   fire	v	25390	0.96
1478	   negative	j	26847	0.90
1479	   following	j	26643	0.91
1480	   historical	j	27266	0.89
1481	   medicine	n	25511	0.95
1482	   tour	n	25781	0.94
1483	   depend	v	25405	0.95
1484	   photo	n	25492	0.94
1485	   finding	n	28246	0.85
1486	   grab	v	26951	0.89
1487	   direct	j	26008	0.92
1488	   classroom	n	27531	0.87
1489	   contact	n	25218	0.95
1490	   justice	n	25377	0.95
1491	   participate	v	26500	0.91
1492	   daily	j	25179	0.95
1493	   fair	j	25064	0.96
1494	   pair	n	25289	0.95
1495	   famous	j	24631	0.97
1496	   exercise	n	25934	0.92
1497	   knee	n	25912	0.92
1498	   flower	n	25642	0.93
1499	   tape	n	25730	0.93
1500	   hire	v	25073	0.95
1501	   familiar	j	24515	0.97
1502	   appropriate	j	26237	0.91
1503	   supply	n	24920	0.96
1504	   fully	r	24842	0.96
1505	   cut	n	25327	0.94
1506	   will	n	24351	0.98
1507	   actor	n	24848	0.96
1508	   birth	n	24515	0.97
1509	   search	n	27087	0.87
1510	   tie	v	24408	0.97
1511	   democracy	n	26039	0.91
1512	   eastern	j	25103	0.94
1513	   primary	j	26043	0.90
1514	   yesterday	r	26215	0.90
1515	   circle	n	24735	0.95
1516	   device	n	24918	0.94
1517	   progress	n	24645	0.95
1518	   next	i	25720	0.91
1519	   front	n	24402	0.96
1520	   bottom	n	24653	0.95
1521	   island	n	24311	0.96
1522	   exchange	n	24826	0.94
1523	   clean	j	24325	0.96
1524	   studio	n	24765	0.94
1525	   train	v	23990	0.97
1526	   lady	n	25436	0.92
1527	   colleague	n	24370	0.95
1528	   application	n	25735	0.90
1529	   neck	n	25716	0.90
1530	   lean	v	26896	0.86
1531	   damage	n	24155	0.96
1532	   plastic	n	24563	0.94
1533	   tall	j	25304	0.92
1534	   plate	n	24592	0.94
1535	   hate	v	24921	0.93
1536	   otherwise	r	23793	0.97
1537	   writing	n	24995	0.92
1538	   press	v	24716	0.93
1539	   male	j	24873	0.93
1540	   start	n	24071	0.96
1541	   alive	j	24184	0.95
1542	   expression	n	24748	0.93
1543	   football	n	25271	0.91
1544	   intend	v	23554	0.97
1545	   attack	v	23971	0.95
1546	   chicken	n	24465	0.93
1547	   army	n	23929	0.95
1548	   abuse	n	24534	0.93
1549	   theater	n	24447	0.93
1550	   shut	v	24773	0.92
1551	   map	n	23666	0.96
1552	   extra	j	24006	0.95
1553	   session	n	24010	0.95
1554	   danger	n	23244	0.97
1555	   welcome	v	25241	0.90
1556	   domestic	j	24313	0.93
1557	   lots	p	23750	0.95
1558	   literature	n	26254	0.86
1559	   rain	n	24134	0.93
1560	   desire	n	23994	0.94
1561	   assessment	n	26318	0.85
1562	   injury	n	23935	0.94
1563	   respect	n	23274	0.96
1564	   northern	j	23783	0.94
1565	   nod	v	27283	0.82
1566	   paint	v	24038	0.93
1567	   fuel	n	23934	0.94
1568	   leaf	n	24044	0.93
1569	   direct	v	23298	0.96
1570	   dry	j	23809	0.94
1571	   Russian	j	23739	0.94
1572	   instruction	n	25190	0.89
1573	   fight	n	23211	0.96
1574	   pool	n	23346	0.96
1575	   climb	v	24367	0.92
1576	   sweet	j	23843	0.94
1577	   lead	n	23301	0.96
1578	   engine	n	23617	0.94
1579	   fourth	m	23227	0.96
1580	   salt	n	24711	0.90
1581	   expand	v	23417	0.94
1582	   importance	n	24946	0.89
1583	   metal	n	23317	0.95
1584	   fat	n	24844	0.89
1585	   ticket	n	23902	0.92
1586	   software	n	23954	0.92
1587	   disappear	v	23389	0.94
1588	   corporate	j	23621	0.93
1589	   strange	j	23744	0.93
1590	   lip	n	25250	0.87
1591	   reading	n	23919	0.92
1592	   urban	j	23889	0.92
1593	   mental	j	23650	0.93
1594	   increasingly	r	23529	0.93
1595	   lunch	n	23220	0.94
1596	   educational	j	25282	0.87
1597	   somewhere	r	23527	0.93
1598	   farmer	n	23005	0.95
1599	   above	r	23866	0.92
1600	   sugar	n	24310	0.90
1601	   planet	n	23567	0.93
1602	   favorite	j	23159	0.94
1603	   explore	v	23744	0.92
1604	   obtain	v	24538	0.89
1605	   enemy	n	22621	0.97
1606	   greatest	j	22673	0.96
1607	   complex	j	23751	0.92
1608	   surround	v	22391	0.97
1609	   athlete	n	23868	0.91
1610	   invite	v	22158	0.98
1611	   repeat	v	22622	0.96
1612	   carefully	r	22837	0.95
1613	   soul	n	22713	0.96
1614	   scientific	j	23691	0.92
1615	   impossible	j	22233	0.98
1616	   panel	n	22529	0.96
1617	   meaning	n	24064	0.90
1618	   mom	n	23450	0.92
1619	   married	j	22352	0.97
1620	   alone	j	23106	0.93
1621	   instrument	n	23831	0.91
1622	   predict	v	22942	0.94
1623	   weather	n	22586	0.95
1624	   presidential	j	24057	0.89
1625	   emotional	j	22773	0.94
1626	   commitment	n	23152	0.93
1627	   Supreme	j	23904	0.90
1628	   bear	v	22190	0.97
1629	   pocket	n	23580	0.91
1630	   thin	j	23194	0.92
1631	   temperature	n	23111	0.93
1632	   surprise	n	22275	0.96
1633	   poll	n	24009	0.89
1634	   proposal	n	22830	0.94
1635	   consequence	n	23307	0.92
1636	   half	n	22029	0.97
1637	   breath	n	24668	0.87
1638	   sight	n	22878	0.93
1639	   cover	n	22301	0.96
1640	   balance	n	22243	0.96
1641	   adopt	v	22880	0.93
1642	   minority	n	23167	0.92
1643	   straight	r	22929	0.93
1644	   attempt	v	22758	0.93
1645	   connect	v	22100	0.96
1646	   works	n	22722	0.93
1647	   teaching	n	24387	0.87
1648	   belong	v	21856	0.97
1649	   aid	n	22642	0.93
1650	   advice	n	21970	0.96
1651	   okay	r	24243	0.87
1652	   photograph	n	22016	0.96
1653	   empty	j	23365	0.90
1654	   regional	j	23182	0.91
1655	   trail	n	23030	0.91
1656	   novel	n	22392	0.94
1657	   code	n	22015	0.95
1658	   somehow	r	22267	0.94
1659	   organize	v	22389	0.94
1660	   jury	n	24072	0.87
1661	   breast	n	22362	0.94
1662	   Iraqi	j	25446	0.82
1663	   human	n	22022	0.95
1664	   acknowledge	v	21983	0.95
1665	   theme	n	22494	0.93
1666	   storm	n	22562	0.93
1667	   union	n	22380	0.93
1668	   record	v	21939	0.95
1669	   desk	n	23455	0.89
1670	   fear	v	21333	0.98
1671	   thanks	n	23061	0.90
1672	   fruit	n	22401	0.93
1673	   under	r	21521	0.97
1674	   expensive	j	21706	0.96
1675	   yellow	j	22452	0.93
1676	   conclusion	n	23034	0.90
1677	   prime	j	22075	0.94
1678	   shadow	n	22803	0.91
1679	   struggle	v	21370	0.97
1680	   conclude	v	22247	0.93
1681	   analyst	n	22662	0.91
1682	   dance	n	21799	0.95
1683	   limit	n	21714	0.95
1684	   like	j	21723	0.95
1685	   regulation	n	22479	0.92
1686	   being	n	21695	0.95
1687	   last	v	21219	0.97
1688	   ring	n	21873	0.94
1689	   largely	r	22097	0.93
1690	   shift	v	21323	0.96
1691	   revenue	n	22445	0.92
1692	   mark	v	21236	0.97
1693	   locate	v	21843	0.94
1694	   county	n	22675	0.90
1695	   appearance	n	21146	0.97
1696	   package	n	21665	0.95
1697	   difficulty	n	22288	0.92
1698	   bridge	n	21497	0.95
1699	   recommend	v	21707	0.94
1700	   obvious	j	21052	0.97
1701	   train	n	21766	0.94
1702	   basically	r	23265	0.88
1703	   e-mail	n	22467	0.91
1704	   generate	v	22213	0.92
1705	   anymore	r	21771	0.94
1706	   propose	v	21691	0.94
1707	   thinking	n	21663	0.94
1708	   possibly	r	20953	0.97
1709	   trend	n	21894	0.93
1710	   visitor	n	21490	0.95
1711	   loan	n	22324	0.91
1712	   currently	r	21636	0.94
1713	   comfortable	j	21101	0.96
1714	   investor	n	22410	0.91
1715	   but	i	20961	0.97
1716	   profit	n	21754	0.93
1717	   angry	j	21485	0.94
1718	   crew	n	21238	0.95
1719	   deep	r	21413	0.95
1720	   accident	n	20964	0.97
1721	   male	n	22398	0.90
1722	   meal	n	21556	0.94
1723	   hearing	n	21560	0.94
1724	   traffic	n	21296	0.95
1725	   muscle	n	21931	0.92
1726	   notion	n	21801	0.93
1727	   capture	v	21018	0.96
1728	   prefer	v	20946	0.96
1729	   truly	r	20576	0.98
1730	   earth	n	21350	0.94
1731	   Japanese	j	21800	0.92
1732	   chest	n	22508	0.89
1733	   search	v	20943	0.96
1734	   thick	j	21932	0.92
1735	   cash	n	21343	0.94
1736	   museum	n	21715	0.93
1737	   beauty	n	21060	0.95
1738	   emergency	n	20796	0.96
1739	   unique	j	21436	0.93
1740	   feature	v	21678	0.92
1741	   internal	j	22025	0.91
1742	   ethnic	j	22632	0.88
1743	   link	v	21335	0.94
1744	   stress	n	21813	0.92
1745	   content	n	21821	0.91
1746	   select	v	21617	0.92
1747	   root	n	20774	0.96
1748	   nose	n	21938	0.91
1749	   declare	v	20550	0.97
1750	   outside	r	21556	0.92
1751	   appreciate	v	20806	0.95
1752	   actual	j	21321	0.93
1753	   bottle	n	21569	0.92
1754	   hardly	r	20757	0.95
1755	   setting	n	22004	0.90
1756	   launch	v	20767	0.95
1757	   dress	n	21362	0.92
1758	   file	n	20832	0.95
1759	   sick	j	20906	0.94
1760	   outcome	n	22721	0.87
1761	   ad	n	21064	0.93
1762	   defend	v	20510	0.96
1763	   matter	v	20534	0.96
1764	   judge	v	20320	0.97
1765	   duty	n	20204	0.97
1766	   sheet	n	20787	0.94
1767	   ought	v	21552	0.91
1768	   ensure	v	21341	0.92
1769	   Catholic	j	20866	0.94
1770	   extremely	r	20310	0.96
1771	   extent	n	21727	0.90
1772	   component	n	22085	0.88
1773	   mix	v	20642	0.95
1774	   long-term	j	20841	0.94
1775	   slow	j	20404	0.96
1776	   contrast	n	21581	0.91
1777	   zone	n	20472	0.95
1778	   wake	v	21330	0.91
1779	   challenge	v	20510	0.95
1780	   airport	n	20897	0.93
1781	   chief	n	20453	0.95
1782	   brown	j	21175	0.92
1783	   standard	j	20917	0.93
1784	   shirt	n	21486	0.90
1785	   pilot	n	20192	0.96
1786	   warn	v	19996	0.97
1787	   ultimately	r	20387	0.95
1788	   cat	n	21135	0.92
1789	   contribution	n	20912	0.92
1790	   capacity	n	21102	0.92
1791	   ourselves	p	19926	0.97
1792	   estate	n	20673	0.93
1793	   guide	n	20646	0.93
1794	   circumstance	n	20310	0.95
1795	   snow	n	21011	0.92
1796	   English	j	20235	0.95
1797	   politician	n	20360	0.95
1798	   steal	v	20296	0.95
1799	   pursue	v	20136	0.96
1800	   slip	v	21233	0.91
1801	   percentage	n	20774	0.92
1802	   meat	n	20271	0.95
1803	   funny	j	20399	0.94
1804	   neither	r	20100	0.95
1805	   soil	n	20916	0.91
1806	   influence	v	21448	0.89
1807	   surgery	n	20118	0.95
1808	   correct	j	20613	0.93
1809	   Jewish	j	20196	0.94
1810	   blame	v	19798	0.96
1811	   estimate	v	20474	0.93
1812	   due	i	21141	0.90
1813	   basketball	n	20955	0.91
1814	   late	r	19727	0.96
1815	   golf	n	20979	0.91
1816	   investigate	v	20117	0.94
1817	   crazy	j	20345	0.93
1818	   significantly	r	22038	0.86
1819	   chain	n	19688	0.96
1820	   address	n	19564	0.97
1821	   branch	n	19633	0.96
1822	   combination	n	20026	0.94
1823	   just	j	20096	0.94
